country,name_of_initiative,website
nigeria,Parkers Resilient Health,https://pmc360.org/parkers-resilient-health/
kenya,Frankys Foundation,https://frankysfoundation.co.ke/
nigeria,Shenovate,https://www.shenovate.com/
kenya,EcoBana,https://www.ecobana.co.ke/
zimbabwe,Sciency Africa,https://www.sciency.africa/
